Unnamed: 0.1,Unnamed: 0,topic_id,topic,country,keyword,period
97.0,97.0,1910-1920_telegraph_fr_9,"['russe', 'russie', 'petrograd', 'soviet', 'kerensky', 'trotsky', 'lénine', 'ukraine', 'maximaliste', 'litovsk']",fr,telegraph,1910-1920
98.0,98.0,1910-1920_telegraph_fr_10,"['tour', 'eiffel', 'température', 'arbre', 'pluie', 'nancy', 'forêt', 'onde', 'champ', 'mètre']",fr,telegraph,1910-1920
99.0,99.0,1910-1920_telegraph_fr_11,"['science', 'siècle', 'petit', 'jeune', 'vieux', 'reine', 'princesse', 'enfant', 'génie', 'école']",fr,telegraph,1910-1920
100.0,100.0,1910-1920_telegraph_fr_12,"['falloir', 'vouloir', 'parole', 'homme', 'penser', 'rien', 'patrie', 'honneur', 'valoir', 'jamais']",fr,telegraph,1910-1920
101.0,101.0,1910-1920_telegraph_fr_13,"['allemand', 'front', 'armée', 'ennemi', 'lorrain', 'troupe', 'victoire', 'ligne', 'alsace', 'division']",fr,telegraph,1910-1920
102.0,102.0,1910-1920_telegraph_fr_14,"['paix', 'allemagne', 'traité', 'allemand', 'armistice', 'allié', 'wilson', 'gouvernement', 'note', 'signer']",fr,telegraph,1910-1920
103.0,103.0,1910-1920_telegraph_fr_15,"['beaucoup', 'fois', 'être', 'fort', 'action', 'chemin', 'grave', 'laisser', 'france', 'chercher']",fr,telegraph,1910-1920
104.0,104.0,1910-1920_telegraph_fr_16,"['ministre', 'aucun', 'ordre', 'hier', 'dépêche', 'part', 'ment', 'recevoir', 'français', 'lieu']",fr,telegraph,1910-1920
105.0,105.0,1910-1920_telegraph_fr_17,"['pari', 'Monsieur', 'femme', 'préfet', 'directeur', 'parisien', 'maire', 'franc', 'société', 'père']",fr,telegraph,1910-1920
106.0,106.0,1910-1920_telegraph_fr_18,"['grève', 'prix', 'poste', 'employé', 'service', 'public', 'abonné', 'sabotage', 'gréviste', 'course']",fr,telegraph,1910-1920
107.0,107.0,1840-1850_telegraph_us_0,"['paddington', 'slough', 'operator', 'petitioner', 'defendant', 'blow', 'plaintiff', 'gale', 'britton', 'engine']",us,telegraph,1840-1850
108.0,108.0,1840-1850_telegraph_us_1,"['whig', 'convention', 'party', 'question', 'taylor', 'president', 'senate', 'shall', 'vote', 'meeting']",us,telegraph,1840-1850
109.0,109.0,1840-1850_telegraph_us_2,"['brig', 'bark', 'schr', 'ship', 'boston', 'april', 'mary', 'liverpool', 'philadelphia', 'street']",us,telegraph,1840-1850
110.0,110.0,1840-1850_telegraph_us_3,"['broadway', 'apply', 'room', 'foot', 'evening', 'corner', 'lady', 'miss', 'performance', 'court']",us,telegraph,1840-1850
111.0,111.0,1840-1850_telegraph_us_4,"['plaintiff', 'defendant', 'jury', 'ward', 'trial', 'arrest', 'charge', 'bill', 'steal', 'sale']",us,telegraph,1840-1850
112.0,112.0,1840-1850_telegraph_us_5,"['market', 'price', 'sell', 'flour', 'wheat', 'barrel', 'corn', 'government', 'army', 'troop']",us,telegraph,1840-1850
113.0,113.0,1850-1860_telegraph_us_0,"['austria', 'emperor', 'french', 'russia', 'france', 'lord', 'paris', 'napoleon', 'russian', 'army']",us,telegraph,1850-1860
114.0,114.0,1850-1860_telegraph_us_1,"['thla', 'bare', 'laat', 'mora', 'moat', 'alao', 'tbla', 'lata', 'ware', 'abort']",us,telegraph,1850-1860
115.0,115.0,1850-1860_telegraph_us_2,"['church', 'applause', 'society', 'toast', 'cheer', 'theatre', 'child', 'beautiful', 'heart', 'lady']",us,telegraph,1850-1860
116.0,116.0,1850-1860_telegraph_us_3,"['line', 'work', 'mile', 'world', 'route', 'great', 'wire', 'company', 'cost', 'trade']",us,telegraph,1850-1860
117.0,117.0,1850-1860_telegraph_us_4,"['boat', 'water', 'vessel', 'wind', 'weather', 'captain', 'ship', 'crew', 'deck', 'arrive']",us,telegraph,1850-1860
118.0,118.0,1850-1860_telegraph_us_5,"['cable', 'submarine', 'niagara', 'agamemnon', 'atlantic', 'mile', 'wire', 'newfoundland', 'line', 'message']",us,telegraph,1850-1860
119.0,119.0,1850-1860_telegraph_us_6,"['tbat', 'thai', 'hare', 'thia', 'tint', 'thin', 'tbey', 'know', 'wear', 'mate']",us,telegraph,1850-1860
120.0,120.0,1850-1860_telegraph_us_7,"['nyork', 'brig', 'bark', 'schr', 'boston', 'ship', 'philadelphia', 'mary', 'schrs', 'sept']",us,telegraph,1850-1860
121.0,121.0,1850-1860_telegraph_us_8,"['party', 'whig', 'convention', 'senate', 'slavery', 'people', 'congress', 'election', 'question', 'vote']",us,telegraph,1850-1860
122.0,122.0,1850-1860_telegraph_us_9,"['street', 'sale', 'broadway', 'court', 'committee', 'price', 'railroad', 'bank', 'market', 'board']",us,telegraph,1850-1860
123.0,123.0,1860-1870_telegraph_us_0,"['nyork', 'brig', 'bark', 'schr', 'ship', 'boston', 'philadelphia', 'liverpool', 'port', 'portland']",us,telegraph,1860-1870
124.0,124.0,1860-1870_telegraph_us_1,"['secor', 'plaintiff', 'deponent', 'aaid', 'said', 'weed', 'defendant', 'affidavit', 'say', 'company']",us,telegraph,1860-1870
125.0,125.0,1860-1870_telegraph_us_2,"['bare', 'thai', 'thla', 'hare', 'ware', 'moat', 'thia', 'mate', 'laat', 'ilia']",us,telegraph,1860-1870
126.0,126.0,1860-1870_telegraph_us_3,"['wire', 'cable', 'ireland', 'gamble', 'malta', 'morphine', 'husband', 'america', 'russia', 'telegraphically']",us,telegraph,1860-1870
127.0,127.0,1860-1870_telegraph_us_4,"['rebel', 'army', 'general', 'enemy', 'regiment', 'troop', 'colonel', 'cavalry', 'force', 'capture']",us,telegraph,1860-1870
128.0,128.0,1860-1870_telegraph_us_5,"['message', 'postal', 'postmaster', 'transmission', 'rate', 'system', 'post', 'transmit', 'delivery', 'belgium']",us,telegraph,1860-1870
129.0,129.0,1860-1870_telegraph_us_6,"['wyck', 'binckley', 'whiskey', 'press', 'protocol', 'fraud', 'theatre', 'contract', 'revenue', 'bucket']",us,telegraph,1860-1870
130.0,130.0,1860-1870_telegraph_us_7,"['postal', 'company', 'cable', 'bill', 'message', 'belgium', 'line', 'cent', 'hubbard', 'monopolist']",us,telegraph,1860-1870
131.0,131.0,1860-1870_telegraph_us_8,"['anadyr', 'exploration', 'bulkier', 'sitka', 'bulkley', 'river', 'wright', 'russian', 'amoor', 'westminster']",us,telegraph,1860-1870
132.0,132.0,1860-1870_telegraph_us_9,"['market', 'erie', 'stock', 'michigan', 'central', 'cent', 'western', 'cleveland', 'gold', 'wayne']",us,telegraph,1860-1870
133.0,133.0,1860-1870_telegraph_us_10,"['cable', 'narva', 'alarm', 'signal', 'company', 'newfoundland', 'intercourse', 'connect', 'indian', 'keyboard']",us,telegraph,1860-1870
134.0,134.0,1860-1870_telegraph_us_11,"['tlie', 'tlio', 'tiie', 'thai', 'tin', 'lia', 'anil', 'winch', 'ttie', 'ill']",us,telegraph,1860-1870
135.0,135.0,1860-1870_telegraph_us_12,"['water', 'night', 'go', 'find', 'foot', 'train', 'passenger', 'work', 'away', 'boat']",us,telegraph,1860-1870
136.0,136.0,1860-1870_telegraph_us_13,"['postal', 'grant', 'company', 'evart', 'pennsylvanian', 'western', 'line', 'radical', 'monopoly', 'congress']",us,telegraph,1860-1870
137.0,137.0,1860-1870_telegraph_us_14,"['street', 'church', 'room', 'broadway', 'lady', 'avenue', 'year', 'family', 'hotel', 'club']",us,telegraph,1860-1870
138.0,138.0,1860-1870_telegraph_us_15,"['treasury', 'million', 'mcculloch', 'cable', 'debt', 'income', 'delmar', 'financial', 'ring', 'china']",us,telegraph,1860-1870
139.0,139.0,1860-1870_telegraph_us_16,"['people', 'great', 'world', 'country', 'nation', 'power', 'like', 'church', 'thing', 'irish']",us,telegraph,1860-1870
140.0,140.0,1860-1870_telegraph_us_17,"['postal', 'system', 'government', 'monopoly', 'company', 'slavery', 'pier', 'cable', 'oligarchy', 'control']",us,telegraph,1860-1870
141.0,141.0,1860-1870_telegraph_us_18,"['committee', 'court', 'bill', 'street', 'district', 'judge', 'resolution', 'charge', 'case', 'say']",us,telegraph,1860-1870
142.0,142.0,1860-1870_telegraph_us_19,"['yacht', 'suez', 'cambria', 'canal', 'sappho', 'cable', 'chinese', 'yachtman', 'egypt', 'monopoly']",us,telegraph,1860-1870
143.0,143.0,1860-1870_telegraph_us_20,"['tbat', 'tbey', 'tbia', 'fenian', 'july', 'bare', 'wbicb', 'tbla', 'bave', 'beea']",us,telegraph,1860-1870
144.0,144.0,1860-1870_telegraph_us_21,"['mexico', 'government', 'france', 'french', 'spain', 'spanish', 'london', 'emperor', 'minister', 'british']",us,telegraph,1860-1870
145.0,145.0,1860-1870_telegraph_us_22,"['congress', 'president', 'convention', 'state', 'radical', 'republican', 'party', 'election', 'vote', 'grant']",us,telegraph,1860-1870
146.0,146.0,1860-1870_telegraph_us_23,"['cable', 'message', 'atlantic', 'company', 'income', 'wire', 'gutta', 'postal', 'percha', 'ireland']",us,telegraph,1860-1870
147.0,147.0,1870-1880_telegraph_us_0,"['stock', 'pacific', 'western', 'market', 'price', 'company', 'union', 'cent', 'central', 'gold']",us,telegraph,1870-1880
